x,y,dt
1416.7,250.0,0.0084
694.4,916.7,0.0000
83.3,1083.3,0.0000
1250.0,1027.8,0.8608
1416.7,972.2,0.9000
2972.2,1027.8,0.0000
2861.1,1638.9,0.0000
416.7,638.9,0.0000
972.2,750.0,0.0065
138.9,972.2,0.0000
1916.7,861.1,0.9000
1472.2,527.8,0.0156
2583.3,527.8,0.0002
2916.7,305.6,0.0000
83.3,1138.9,0.0000
2638.9,1972.2,0.9000
1027.8,1250.0,0.9000
2583.3,1527.8,0.0000
416.7,694.4,0.0000
2250.0,1638.9,0.0049
2027.8,861.1,0.8448
861.1,750.0,0.0025
1138.9,1638.9,0.0096
416.7,472.2,0.0000
1416.7,305.6,0.0071
1805.6,1416.7,0.0123
1916.7,416.7,0.0113
750.0,1361.1,0.9000
2138.9,138.9,0.0000
2083.3,1750.0,0.0181
2361.1,861.1,0.0000
750.0,1583.3,0.0173
416.7,1194.4,0.0000
250.0,972.2,0.0000
583.3,138.9,0.9000
1972.2,416.7,0.0099
1194.4,1527.8,0.0153
2638.9,1138.9,0.0000
2638.9,1916.7,0.0000
2972.2,250.0,0.0000
1472.2,1916.7,0.0834
1361.1,1916.7,0.0704
305.6,1138.9,0.0000
583.3,1916.7,0.0000
2138.9,472.2,0.0086
2194.4,916.7,0.0014
27.8,694.4,0.0000
1583.3,1583.3,0.0099
805.6,1861.1,0.0000
361.1,472.2,0.0000
2805.6,194.4,0.2514
1972.2,250.0,0.0033
1416.7,1638.9,0.0089
305.6,1750.0,0.1336
1027.8,1194.4,0.9000
861.1,1750.0,0.0000
305.6,361.1,0.0000
2361.1,1472.2,0.0007
694.4,1416.7,0.9000
2861.1,1805.6,0.0000
2194.4,1527.8,0.0014
750.0,583.3,0.0010
138.9,1527.8,0.0000
2916.7,1861.1,0.0000
1250.0,1194.4,0.9000
1750.0,1638.9,0.0061
194.4,638.9,0.0000
27.8,1861.1,0.0465
2416.7,1527.8,0.0007
1527.8,583.3,0.0191
138.9,1416.7,0.0000
1805.6,1861.1,0.0495
2027.8,972.2,0.0136
972.2,527.8,0.0021
2805.6,1583.3,0.0000
194.4,416.7,0.0000
361.1,861.1,0.0000
1416.7,1194.4,0.0400
750.0,1138.9,0.0054
1638.9,1083.3,0.0400
361.1,972.2,0.0000
1027.8,27.8,0.8571
527.8,1638.9,0.9000
1583.3,472.2,0.0139
1472.2,1027.8,0.9000
138.9,750.0,0.0000
1194.4,527.8,0.0097
805.6,1194.4,0.1027
916.7,1194.4,0.9000
1083.3,194.4,0.0254
2361.1,305.6,0.0094
2916.7,1472.2,0.0000
2138.9,83.3,0.0009
916.7,1472.2,0.0177
1861.1,1638.9,0.0037
2416.7,1138.9,0.0000
1861.1,1805.6,0.0232
2027.8,305.6,0.0031
2638.9,638.9,0.0000
361.1,1472.2,0.0000
2694.4,1638.9,0.0000
2916.7,1750.0,0.0000
2861.1,250.0,0.0428
361.1,1694.4,0.2416
2694.4,1472.2,0.0000
2472.2,638.9,0.0852
1472.2,638.9,0.0212
1194.4,1305.6,0.1063
27.8,1972.2,0.0000
138.9,1861.1,0.5037
583.3,583.3,0.0004
194.4,1583.3,0.0215
2083.3,1305.6,0.0033
1194.4,1861.1,0.0102
2305.6,250.0,0.0008
972.2,472.2,0.0017
2305.6,1305.6,0.0004
527.8,972.2,0.0000
1083.3,694.4,0.0112
2638.9,1527.8,0.0000
1027.8,1638.9,0.0076
1027.8,1805.6,0.0027
972.2,694.4,0.0051
1250.0,138.9,0.0435
305.6,305.6,0.0000
1694.4,1916.7,0.1097
1750.0,694.4,0.0369
1583.3,83.3,0.0754
1305.6,1638.9,0.0096
2250.0,638.9,0.9000
250.0,527.8,0.0000
1805.6,1638.9,0.0049
2694.4,750.0,0.0000
2361.1,1194.4,0.0000
305.6,1250.0,0.0000
1194.4,138.9,0.0480
1916.7,1972.2,0.8243
83.3,138.9,0.0000
2805.6,1083.3,0.0000
638.9,750.0,0.0000
2472.2,194.4,0.0013
2527.8,194.4,0.9000
1861.1,1694.4,0.0045
2083.3,1583.3,0.0014
972.2,972.2,0.0122
1861.1,638.9,0.0344
250.0,27.8,0.9000
1583.3,861.1,0.0598
2027.8,1194.4,0.0082
2972.2,1916.7,0.0000
2027.8,1305.6,0.0053
861.1,861.1,0.0034
1305.6,1083.3,0.9000
2472.2,1638.9,0.0741
27.8,1916.7,0.9000
472.2,1638.9,0.9000
2194.4,1305.6,0.0014
1194.4,805.6,0.0219
916.7,1861.1,0.0000
2138.9,1694.4,0.0082
2694.4,1750.0,0.0000
2138.9,1972.2,0.9000
2694.4,527.8,0.0016
2361.1,1083.3,0.0000
2361.1,27.8,0.6366
638.9,583.3,0.0004
2416.7,861.1,0.0000
583.3,1694.4,0.0271
2083.3,1138.9,0.0061
2694.4,861.1,0.0000
1527.8,1361.1,0.0213
2027.8,1138.9,0.0097
861.1,83.3,0.9000
1305.6,1805.6,0.0079
1138.9,694.4,0.0144
2361.1,1861.1,0.9000
1027.8,305.6,0.0038
2694.4,1083.3,0.0000
1194.4,1416.7,0.0270
2694.4,1805.6,0.0000
1194.4,416.7,0.0057
1527.8,1472.2,0.0158
2694.4,416.7,0.1167
1916.7,1583.3,0.0028
2416.7,1805.6,0.9000
2583.3,1027.8,0.0000
27.8,972.2,0.0000
194.4,1416.7,0.0000
2250.0,305.6,0.0023
638.9,1416.7,0.9000
1638.9,1527.8,0.0117
583.3,250.0,0.1249
2027.8,1583.3,0.0016
2305.6,1527.8,0.0014
27.8,305.6,0.0000
750.0,861.1,0.0003
750.0,1694.4,0.0026
250.0,1083.3,0.0000
416.7,1972.2,0.8083
638.9,527.8,0.0007
1805.6,583.3,0.0263
1138.9,527.8,0.0074
2638.9,361.1,0.2301
694.4,416.7,0.0020
250.0,1861.1,0.8392
1305.6,361.1,0.0069
2750.0,1638.9,0.0000
1305.6,805.6,0.0254
805.6,416.7,0.0017
2027.8,1361.1,0.0040
361.1,1361.1,0.0000
972.2,1694.4,0.0033
305.6,1916.7,0.6265
2694.4,1194.4,0.0000
1305.6,138.9,0.0396
361.1,1638.9,0.0465
638.9,1805.6,0.0003
2083.3,1805.6,0.0420
2805.6,83.3,0.9000
1694.4,1694.4,0.0069
1638.9,1805.6,0.0165
2138.9,972.2,0.0050
1138.9,1805.6,0.0057
2527.8,1194.4,0.6724
1972.2,1416.7,0.0046
1083.3,1416.7,0.0294
1750.0,527.8,0.0180
2250.0,527.8,0.0549
2250.0,1361.1,0.0009
2583.3,1861.1,0.0000
1861.1,361.1,0.0093
1916.7,1361.1,0.0091
1638.9,1138.9,0.0324
1972.2,194.4,0.0021
527.8,83.3,0.1368
250.0,361.1,0.0000
1527.8,694.4,0.0301
1083.3,1250.0,0.2450
2138.9,1583.3,0.0014
527.8,1472.2,0.9000
2250.0,250.0,0.0000
2027.8,1527.8,0.0017
2138.9,1305.6,0.0022
305.6,861.1,0.0000
805.6,250.0,0.0260
750.0,1972.2,0.6496
2472.2,1361.1,0.0000
638.9,916.7,0.0000
1916.7,916.7,0.1130
1861.1,1138.9,0.0213
472.2,694.4,0.8123
2250.0,1805.6,0.0604
2250.0,750.0,0.1643
2583.3,1472.2,0.0000
194.4,916.7,0.0000
972.2,1250.0,0.9000
1027.8,1750.0,0.0036
1972.2,583.3,0.0272
1694.4,583.3,0.0227
1694.4,1583.3,0.0085
2750.0,472.2,0.2579
583.3,1138.9,0.0001
2694.4,305.6,0.1762
2305.6,361.1,0.0130
2805.6,472.2,0.0000
2472.2,1972.2,0.8908
305.6,194.4,0.0000
138.9,1361.1,0.9000
2638.9,416.7,0.0410
2527.8,305.6,0.9000
2194.4,194.4,0.0000
1138.9,1750.0,0.0060
83.3,1416.7,0.0000
1527.8,1972.2,0.6996
2861.1,583.3,0.0000
2972.2,1694.4,0.0000
2583.3,1750.0,0.0000
2805.6,138.9,0.9000
1416.7,1583.3,0.0112
1861.1,1416.7,0.0097
2583.3,861.1,0.0000
1694.4,361.1,0.0095
1472.2,805.6,0.0346
527.8,472.2,0.0150
2638.9,250.0,0.6785
2472.2,27.8,0.6363
2305.6,1861.1,0.3365
2083.3,1694.4,0.0060
1805.6,1916.7,0.1308
2583.3,805.6,0.0000
1083.3,1861.1,0.0060
1527.8,916.7,0.1681
2194.4,694.4,0.9000
1083.3,1138.9,0.9000
1694.4,1361.1,0.0185
2916.7,1638.9,0.0000
1361.1,27.8,0.7153
1194.4,638.9,0.0147
1861.1,1305.6,0.0146
